State_Code,Crop_Code,Season_Code,Area,Annual_Rainfall,Yield_kg_ha
2,0,4,73814.0,2051.4,768.2553445145908
2,1,1,6637.0,2051.4,705.8912159108031
2,11,1,1739.0,2051.4,456.5842438182864
2,13,4,13587.0,2051.4,667.770663133878
2,16,2,2979.0,2051.4,505.8744545149379
2,21,1,94520.0,2051.4,9565.118493440541
2,23,2,10098.0,2051.4,510.7942166765696
2,24,1,19216.0,2051.4,766.0803497085761
2,26,1,5915.0,2051.4,4903.2967032967035
2,29,4,9914.0,2051.4,512.0032277587251
2,31,4,7832.0,2051.4,2290.985699693565
2,32,2,108297.0,2051.4,538.0758469763705
2,37,4,75259.0,2051.4,8927.450537477245
2,39,2,279292.0,2051.4,554.1583718831904
2,40,0,607358.0,2051.4,655.809259119004
2,40,3,174974.0,2051.4,1198.0237063792335
2,40,5,1743321.0,2051.4,944.9183483707246
2,43,4,15765.0,2051.4,523.7551538217571
2,44,1,10490.0,2051.4,513.9180171591993
2,46,1,31318.0,2051.4,41108.97886199629
2,48,4,9380.0,2051.4,3477.3987206823026
2,49,4,2465.0,2051.4,4757.809330628803
2,51,4,10071.0,2051.4,692.4833680865853
2,53,2,84698.0,2051.4,1299.3695246641007
12,0,4,93100.0,1266.7,1432.2448979591836
12,1,1,421810.0,1266.7,233.45345060572296
12,2,1,301149.0,1266.7,438.5071841513669
12,2,3,820.0,1266.7,807.3170731707318
12,5,1,3825.0,1266.7,241.5686274509804
12,10,4,17317.0,1266.7,164.75140035802968
12,13,1,186579.0,1266.7,746.0968276172559
12,13,2,4565.0,1266.7,1729.463307776561
12,14,4,5061.0,1266.7,750.642165579925
12,15,1,3619.0,1266.7,1311.1356728378005
12,17,1,847666.0,1266.7,620.010711766191
12,17,2,192416.0,1266.7,941.039206718776
12,19,1,178872.0,1266.7,447.9404266738226
12,19,2,163173.0,1266.7,506.0396021400599
12,20,1,389690.0,1266.7,1324.3680874541303
12,20,2,1501172.0,1266.7,481.472476171951
12,20,3,6137.0,1266.7,2466.188691543099
12,24,1,502797.0,1266.7,2766.7865957831887
12,24,2,48844.0,1266.7,2025.4688395708788
12,24,3,9730.0,1266.7,2147.2764645426514
12,38,1,897921.0,1266.7,1352.3260955028338
12,38,2,27104.0,1266.7,1243.2113341204251
12,38,3,13521.0,1266.7,1851.5642334146883
12,40,1,1031530.0,1266.7,2268.9529146025807
12,40,2,53889.0,1266.7,2029.1710738740744
12,40,3,268044.0,1266.7,2845.648475623405
12,46,4,308857.0,1266.7,93892.21872905584
12,51,4,4342.0,1266.7,5552.280055274067
12,53,2,250698.0,1266.7,472.7281430246751
13,0,4,76145.0,3252.4,1234.421170135925
13,5,4,173855.0,3252.4,319.3465819217164
13,7,4,96073.0,3252.4,771.7256669407637
13,49,4,132875.0,3252.4,21387.16086547507
17,0,4,9569.0,3818.2,1266.172013794545
17,1,1,865.0,3818.2,789.5953757225434
17,3,4,5239.0,3818.2,12027.295285359802
17,8,2,30.0,3818.2,500.0
17,11,1,7544.0,3818.2,740.9862142099682
17,13,4,1766.0,3818.2,626.2740656851643
17,15,1,7357.0,3818.2,6151.964115808074
17,16,2,443.0,3818.2,609.4808126410835
17,21,1,4243.0,3818.2,8174.169219891586
17,23,1,50.0,3818.2,440.0
17,24,1,17175.0,3818.2,1448.5007278020378
17,26,1,4688.0,3818.2,4598.5494880546075
17,26,4,861.0,3818.2,828.1068524970964
17,32,2,1909.0,3818.2,791.5138816134101
17,37,4,20764.0,3818.2,9656.569061837796
17,39,2,6914.0,3818.2,646.0804165461383
17,40,1,105170.0,3818.2,1427.2225919939146
17,43,1,1326.0,3818.2,518.8536953242835
17,44,1,2804.0,3818.2,797.7888730385164
17,45,1,898.0,3818.2,906.4587973273942
17,46,4,82.0,3818.2,2743.9024390243903
17,48,4,5212.0,3818.2,3257.4827321565617
17,49,4,3959.0,3818.2,5326.34503662541
17,50,2,742.0,3818.2,680.5929919137467
17,51,4,1401.0,3818.2,5086.366880799429
17,53,2,4287.0,3818.2,1608.1175647305809
29,0,4,8058.0,1852.9,1541.6976917349218
29,1,4,3630.0,1852.9,600.8264462809917
29,2,1,207.0,1852.9,458.93719806763283
29,4,4,6116.0,1852.9,823.0869849574885
29,11,1,26000.0,1852.9,2000.0
29,13,4,64034.0,1852.9,867.804603804229
29,16,2,25485.0,1852.9,666.8236217382774
29,17,4,29615.0,1852.9,1305.824750970792
29,19,1,5645.0,1852.9,452.79007971656335
29,20,4,948.0,1852.9,474.6835443037975
29,21,1,641574.0,1852.9,11767.465639193608
29,22,2,25261.0,1852.9,1126.6379003206523
29,23,4,16486.0,1852.9,255.36819119252698
29,24,4,35469.0,1852.9,3676.167921283374
29,25,2,51202.0,1852.9,684.3482676457951
29,26,1,9689.0,1852.9,9185.674476210135
29,27,1,1490.0,1852.9,477.18120805369125
29,27,2,3269.0,1852.9,523.0957479351483
29,29,4,6512.0,1852.9,540.8476658476659
29,34,1,1279.0,1852.9,566.8491008600469
29,37,4,284015.0,1852.9,19652.31765927856
29,38,0,12607.0,1852.9,1215.9911160466409
29,39,4,327123.0,1852.9,767.1426344219146
29,40,0,423121.0,1852.9,1777.1984845942413
29,40,3,1206829.0,1852.9,2957.7678362054608
29,40,5,4270328.0,1852.9,2087.685067751236
29,41,4,10800.0,1852.9,277.77777777777777
29,42,4,2015.0,1852.9,4502.7295285359805
29,43,4,127913.0,1852.9,695.3398012711765
29,44,4,5046.0,1852.9,638.525564803805
29,45,1,1555.0,1852.9,753.6977491961414
29,46,4,25797.0,1852.9,70500.44578826995
29,51,4,12481.0,1852.9,1887.3487701305985
29,52,1,69271.0,1852.9,642.1157482929365
29,52,2,16694.0,1852.9,632.1432850125793
29,53,2,367374.0,1852.9,2206.144147381143
21,0,1,66.0,1434.5875,348.4848484848485
21,2,1,149.0,1434.5875,2174.496644295302
21,5,1,12.0,1434.5875,583.3333333333334
21,11,3,453.0,1434.5875,821.1920529801324
21,13,1,8.0,1434.5875,2875.0
21,17,2,1046.0,1434.5875,1971.31931166348
21,31,1,26.0,1434.5875,16500.0
21,38,1,112.0,1434.5875,3267.8571428571427
21,40,1,4945.0,1434.5875,2329.221435793731
21,40,2,13961.0,1434.5875,2164.6013895852734
21,40,3,5716.0,1434.5875,2600.2449265220434
21,43,1,147.0,1434.5875,816.3265306122449
21,44,1,4.0,1434.5875,750.0
21,46,1,2710.0,1434.5875,85745.0184501845
21,49,1,649.0,1434.5875,29445.300462249616
2,0,4,74457.0,2354.4,743.4492391581718
2,1,1,7657.0,2354.4,703.8004440381351
2,3,4,41885.0,2354.4,13892.419720663722
2,8,1,1728.0,2354.4,409.72222222222223
2,11,1,1652.0,2354.4,454.6004842615012
2,13,4,14724.0,2354.4,658.1092094539528
2,16,2,3002.0,2354.4,500.6662225183211
2,21,1,78702.0,2354.4,8731.328301695
2,23,2,10222.0,2354.4,509.8806495793387
2,24,1,19810.0,2354.4,704.9469964664311
2,26,1,5260.0,2354.4,4871.292775665399
2,29,1,8753.0,2354.4,511.59602422026734
2,31,4,8083.0,2354.4,2269.0832611654087
2,32,2,116141.0,2354.4,536.6752481897005
2,37,4,76958.0,2354.4,7940.396060188675
2,39,2,288829.0,2354.4,469.5892725453469
2,40,0,594979.0,2354.4,874.9972688111682
2,40,3,223913.0,2354.4,1992.354173272655
2,40,5,1635230.0,2354.4,1399.2612659992783
2,43,1,15940.0,2354.4,515.0564617314931
2,44,1,10547.0,2354.4,516.7346164786195
2,46,4,30571.0,2354.4,40024.140525334464
2,48,4,9433.0,2354.4,3438.672744619951
2,49,4,2798.0,2354.4,4739.456754824875
2,50,4,1465.0,2354.4,499.65870307167233
2,51,4,10729.0,2354.4,691.2107372541709
2,53,2,89591.0,2354.4,1010.2465649451395
6,0,4,1500.0,2964.9,1213.3333333333333
